ID,Page,LineNum,Enterer,Recorder,Team,Year,SurveyDate,BlockID,SiteID,Plot,PlotID,HostID,HostAbund,IndNum,BranchNum,BranchLength,BranchDiam,NumLeaves,CatID,CatSpecies,Count,BadHost,CatIDNum,RearID,FieldNotes,EntererNotes,CleaningNotes,
14,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,10,2,NA,NA,252,,NA,0,,NA,,,,,
15,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,PINST,6,4,4,20,NA,NA,,NA,0,,NA,,,,,
16,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,11,3,NA,NA,62,,NA,0,,NA,,,,,
17,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,12,4,NA,NA,71,,NA,0,,NA,,,,,
18,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,PINST,6,5,5,25,NA,NA,,NA,0,,NA,,,,,
19,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,PINST,6,6,6,30,NA,NA,,NA,0,,NA,,,,,
20,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,13,5,NA,NA,20,,NA,0,,NA,,,,,
21,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,14,6,NA,NA,116,,NA,0,,NA,,,,,
22,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,15,7,NA,NA,117,ORTHRU,Orthosia rubescens,1,,NA,,,,,
23,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,16,8,NA,NA,65,,NA,0,,NA,,,,,
24,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,17,9,NA,NA,70,,NA,0,,NA,,,,,
25,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,FAGGR,2,1,1,NA,NA,1582,EUPIXX,Eupithecia,1,,NA,HU610-1,,,,
26,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,FAGGR,2,1,1,NA,NA,1582,MORRCO,Morrisonia confusa,1,,NA,,,,,
27,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,FAGGR,2,2,2,NA,NA,297,,NA,0,,NA,,,,,
28,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB1,CP_HRS_HB1,BETLE,18,18,10,NA,NA,60,,NA,0,,NA,,,,,
29,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,1,1,NA,NA,132,,NA,0,,NA,,,,,
30,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,PINST,6,1,1,75,NA,NA,,NA,0,,NA,,,,,
31,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,2,7,NA,NA,28,,NA,0,,NA,,,,,
32,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,3,8,NA,NA,64,,NA,0,,NA,,,,,
33,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,ACESA,1,1,1,NA,NA,428,EUPIXX,Eupithecia,1,,NA,HU610-2,,,,
34,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,NYSSY,1,1,1,NA,NA,57,EUTRCL,Eutrapela clemataria,1,,NA,,,,,
35,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,CARCA,2,1,1,NA,NA,365,,NA,0,,NA,,,,,
36,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,CARCA,2,2,2,NA,NA,803,MORRLA,Morrisonia latex,1,,NA,,,,,
37,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,PRUSE,1,1,1,NA,NA,120,MELACA,Melanolophia canadaria,1,,NA,,,,,
38,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,4,9,NA,NA,428,EUPIXX,Eupithecia,1,,NA,HU610-3,,,,
39,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,KALLA,4,1,1,NA,NA,618,EUPSXX,Eupsilia,1,,NA,HU610-4,,,,
40,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,KALLA,4,1,1,NA,NA,618,EUPSXX,Eupsilia,1,,NA,HU610-5,,,,
41,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,KALLA,4,1,1,NA,NA,618,MELACA,Melanolophia canadaria,1,,NA,,,,,
42,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,VACCO,1,1,1,NA,NA,204,,NA,0,,NA,,,,,
43,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,KALLA,4,2,2,NA,NA,40,EUTRCL,Eutrapela clemataria,1,,NA,,,,,
44,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,KALLA,4,3,3,NA,NA,82,EUTRCL,Eutrapela clemataria,1,,NA,,,,,
45,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,5,10,NA,NA,307,,NA,0,,NA,,,,,
46,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,6,11,NA,NA,107,,NA,0,,NA,,,,,
47,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,KALLA,4,4,4,NA,NA,278,,NA,0,,NA,,,,,
48,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,7,12,NA,NA,473,,NA,0,,NA,,,,,
49,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,PINST,6,3,2,100,NA,NA,,NA,0,,NA,,,,,
50,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,9,13,NA,NA,115,,NA,0,,NA,,,,,
51,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,10,2,NA,NA,138,,NA,0,,NA,,,,,
52,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,11,3,NA,NA,122,,NA,0,,NA,,,,,
53,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,12,4,NA,NA,400,CROCNO,Crocigrapha normani,1,,NA,,,,,
54,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,PINST,6,4,3,150,NA,NA,,NA,0,,NA,,,,,
55,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,PINST,6,5,4,25,NA,NA,,NA,0,,NA,,,,,
56,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,PINST,6,6,5,200,NA,NA,,NA,0,,NA,,,,,
57,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,PINST,6,7,6,300,NA,NA,,NA,0,,NA,,,,,
58,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,13,5,NA,NA,116,,NA,0,,NA,,,,,
59,NA,NA,NA,NA,NA,2015,2015-06-10,CP,HRS,HB2,CP_HRS_HB2,BETLE,13,14,6,NA,NA,209,,NA,0,,NA,,,,,
60,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,1,1,NA,NA,485,,NA,0,,NA,,,,,
61,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,2,12,NA,NA,405,,NA,0,,NA,,,,,
62,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,3,21,NA,NA,140,,NA,0,,NA,,,,,
63,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,4,22,NA,NA,78,,NA,0,,NA,,,,,
64,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,5,23,NA,NA,693,,NA,0,,NA,,,,,
65,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,6,24,NA,NA,41,,NA,0,,NA,,,,,
66,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,7,25,NA,NA,179,MELACA,Melanolophia canadaria,1,,NA,,,,,
67,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,8,26,NA,NA,35,,NA,0,,NA,,,,,
68,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,9,27,NA,NA,110,,NA,0,,NA,,,,,
69,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,10,2,NA,NA,24,,NA,0,,NA,,,,,
70,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,11,3,NA,NA,227,,NA,0,,NA,,,,,
71,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,12,4,NA,NA,226,,NA,0,,NA,,,,,
72,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,13,5,NA,NA,374,EUPISW,Eupithecia swettii,1,,NA,HU611-6,,,,
73,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,14,6,NA,NA,16,,NA,0,,NA,,,,,
74,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,15,7,NA,NA,265,EUPIXX,Eupithecia,1,,NA,HU611-7,,,,
75,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,16,8,NA,NA,52,,NA,0,,NA,,,,,
76,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,17,9,NA,NA,522,,NA,0,,NA,,,,,
77,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,18,10,NA,NA,447,,NA,0,,NA,,,,,
78,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,19,11,NA,NA,211,,NA,0,,NA,,,,,
79,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,20,13,NA,NA,62,,NA,0,,NA,,,,,
80,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,21,14,NA,NA,287,,NA,0,,NA,,,,,
81,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,22,15,NA,NA,25,,NA,0,,NA,,,,,
82,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,23,16,NA,NA,45,,NA,0,,NA,,,,,
83,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,24,17,NA,NA,7,,NA,0,,NA,,,,,
84,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,25,18,NA,NA,590,,NA,0,,NA,,,,,
85,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,26,19,NA,NA,147,,NA,0,,NA,,,,,
86,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HC1,CP_HRS_HC1,BETLE,27,27,20,NA,NA,495,,NA,0,,NA,,,,,
87,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,VACCO,6,1,1,NA,NA,473,,NA,0,,NA,,,,,
88,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,BETLE,2,1,1,NA,NA,50,,NA,0,,NA,,,,,
89,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,HAMVI,8,1,1,NA,NA,221,LYMADI,Lymantria dispar,1,,NA,,,,,
90,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,HAMVI,8,2,2,NA,NA,47,LYMADI,Lymantria dispar,1,,NA,,,,,
91,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,BETLE,2,2,2,NA,NA,126,LITHXX,Lithophane,1,,NA,HU611-8,Questionable ID,,,
92,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,HAMVI,8,3,3,NA,NA,38,,NA,0,,NA,,,,,
93,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,HAMVI,8,4,4,NA,NA,144,EUPISW,Eupithecia swettii,1,,NA,HU611-9,,,,
94,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,HAMVI,8,5,5,NA,NA,255,,NA,0,,NA,,,,,
95,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,VACCO,6,2,2,NA,NA,45,,NA,0,,NA,,,,,
96,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,HAMVI,8,6,6,NA,NA,242,PHYLAM,Phyllodesma americana,1,,NA,HU611-10,Questionable ID,,Likely PHYLAM (JGM),
97,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,HAMVI,8,6,6,NA,NA,242,IRIDEP,Iridopsis ephyraria,1,,NA,,,,,
98,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,HAMVI,8,6,6,NA,NA,242,ENNOSU,Ennomos subsignaria,1,,NA,,,,,
99,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,HAMVI,8,7,7,NA,NA,86,LYMADI,Lymantria dispar,1,,NA,,,,,
100,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,HAMVI,8,8,8,NA,NA,386,LYMADI,Lymantria dispar,1,,NA,,,,,
101,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,VACCO,6,3,3,NA,NA,164,,NA,0,,NA,,,,,
102,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,VACCO,6,4,4,NA,NA,1026,,NA,0,,NA,,,,,
103,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,VACCO,6,5,5,NA,NA,417,,NA,0,,NA,,,,,
104,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,KALLA,5,1,1,NA,NA,60,,NA,0,,NA,,,,,
105,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,KALLA,5,2,2,NA,NA,140,,NA,0,,NA,,,,,
106,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,KALLA,5,3,3,NA,NA,41,,NA,0,,NA,,,,,
107,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,KALLA,5,4,4,NA,NA,59,,NA,0,,NA,,,,,
108,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,KALLA,5,5,5,NA,NA,45,,NA,0,,NA,,,,,
109,NA,NA,NA,NA,NA,2015,2015-06-11,CP,HRS,HA1,CP_HRS_HA1,VACCO,6,6,6,NA,NA,85,,NA,0,,NA,,,,,
110,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,1,1,NA,NA,262,ACHADI,Achatia distincta,1,,NA,,,,,
111,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,2,9,NA,NA,655,MELACA,Melanolophia canadaria,1,,NA,CL611-1,,,,
112,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,3,10,NA,NA,545,,NA,0,,NA,,,,,
113,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,4,11,NA,NA,92,,NA,0,,NA,,,,,
114,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,5,12,NA,NA,129,,NA,0,,NA,,,,,
115,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,6,13,NA,NA,310,ACHADI,Achatia distincta,1,,NA,,,,,
116,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,7,14,NA,NA,519,MELACA,Melanolophia canadaria,1,,NA,,,,,
117,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,8,15,NA,NA,370,MELACA,Melanolophia canadaria,1,,NA,,,,,
118,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,9,16,NA,NA,576,,NA,0,,NA,,,,,
119,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,10,2,NA,NA,182,,NA,0,,NA,,,,,
120,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,11,3,NA,NA,154,ACHADI,Achatia distincta,1,,NA,,,,,
121,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,12,4,NA,NA,457,,NA,0,,NA,,,,,
122,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,13,5,NA,NA,334,ACHADI,Achatia distincta,1,,NA,,,,,
123,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,14,6,NA,NA,359,ACHADI,Achatia distincta,1,,NA,,,,,
124,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,15,7,NA,NA,465,,NA,0,,NA,,,,,
125,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,CAROV,1,1,1,NA,NA,118,,NA,0,,NA,,,,,
126,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,PICGL,1,1,1,300,NA,NA,,NA,0,,NA,,,,,
127,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLA2,CP_CPM_CLA2,BETLE,16,16,8,NA,NA,32,,NA,0,,NA,,,,,
128,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,ACERU,4,1,1,NA,NA,9,,NA,0,,NA,,,,,
129,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,VACCO,2,1,1,NA,NA,970,LYMADI,Lymantria dispar,3,,NA,,,,,
130,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,VACCO,2,1,1,NA,NA,970,MELACA,Melanolophia canadaria,4,,NA,,,,,
131,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,HAMVI,4,1,1,NA,NA,135,MELACA,Melanolophia canadaria,1,,NA,,,,,
132,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,HAMVI,4,1,1,NA,NA,135,ACHADI,Achatia distincta,1,,NA,,,,,
133,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,HAMVI,4,1,1,NA,NA,135,LITHAN,Lithophane antennata,1,,NA,,,,,
134,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,CAROV,2,1,1,NA,NA,36,,NA,0,,NA,,,,,
135,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,PRUSE,1,1,1,NA,NA,294,MELACA,Melanolophia canadaria,5,,NA,,,,,
136,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,PRUSE,1,1,1,NA,NA,294,MORRCO,Morrisonia confusa,1,,NA,,,,,
137,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,PRUSE,1,1,1,NA,NA,294,LYMADI,Lymantria dispar,1,,NA,,,,,
138,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,HAMVI,4,2,2,NA,NA,86,,NA,0,,NA,,,,,
139,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,QUEMO,1,1,1,NA,NA,12,LYMADI,Lymantria dispar,1,,NA,,,,,
140,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,CAROV,2,2,2,NA,NA,60,MELACA,Melanolophia canadaria,1,,NA,,,,,
141,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,QUERU,2,1,1,NA,NA,4,LYMADI,Lymantria dispar,1,,NA,,,,,
142,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,KALLA,7,1,1,NA,NA,143,MELACA,Melanolophia canadaria,1,,NA,,,,,
143,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,KALLA,7,1,1,NA,NA,143,MICROL,Microlepidoptera,1,,NA,CL611-2,,,,
144,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,NYSSY,1,1,1,NA,NA,49,,NA,0,,NA,,,,,
145,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,ACERU,4,2,2,NA,NA,20,,NA,0,,NA,,,,,
146,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,ACERU,4,3,3,NA,NA,110,ACHADI,Achatia distincta,1,,NA,,,,,
147,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,ACERU,4,3,3,NA,NA,110,SPERPU,Speranza pustularia,3,,NA,,,,,
148,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,ACERU,4,3,3,NA,NA,110,MORRCO,Morrisonia confusa,1,,NA,,,,,
149,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,HAMVI,4,3,3,NA,NA,562,LYMADI,Lymantria dispar,4,,NA,,,,,
150,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,HAMVI,4,3,3,NA,NA,562,MORRCO,Morrisonia confusa,1,,NA,,,,,
151,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,HAMVI,4,3,3,NA,NA,562,ENNOSU,Ennomos subsignaria,1,,NA,,,,,
152,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,HAMVI,4,3,3,NA,NA,562,MICROL,Microlepidoptera,1,,NA,CL611-3,,,,
153,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,HAMVI,4,3,3,NA,NA,562,MICROL,Microlepidoptera,1,,NA,CL611-4,,,,
154,NA,NA,NA,NA,NA,2015,2015-06-11,CP,CPM,CLB1,CP_CPM_CLB1,HAMVI,4,3,3,NA,NA,562,PYREHE,Pyreferra hesperidago,1,,NA,,,,,
